titulo,url,precio_pesos,precio_dolar,precio_dolar_blue,fecha
LA FELICIDAD,https://cuspide.com/producto/la-felicidad-2/,24900.0,29.29,21.75,2024-02-10
ZENSORIALMENTE,https://cuspide.com/producto/zensorialmente/,15499.0,18.23,13.54,2024-02-10
ESTE DOLOR NO ES MIO,https://cuspide.com/producto/este-dolor-no-es-mio/,23900.0,28.12,20.87,2024-02-10
VIDAS PARALELAS,https://cuspide.com/producto/vidas-paralelas-3/,13999.0,16.47,12.23,2024-02-10
ESTA ENTRE NOSOTROS,https://cuspide.com/producto/esta-entre-nosotros/,14190.0,16.69,12.39,2024-02-10
EL HOMBRE EN BUSCA DE SENTIDO,https://cuspide.com/producto/el-hombre-en-busca-de-sentido/,9900.0,11.65,8.65,2024-02-10
EL PODER DE LAS PALABRAS,https://cuspide.com/producto/el-poder-de-las-palabras/,19499.0,22.94,17.03,2024-02-10
ENCUENTRA TU PERSONA VITAMINA,https://cuspide.com/producto/encuentra-tu-persona-vitamina/,25000.0,29.41,21.83,2024-02-10
EL VIENTO CONOCE MI NOMBRE,https://cuspide.com/producto/el-viento-conoce-mi-nombre/,19599.0,23.06,17.12,2024-02-10
MIS DIAS EN LA LIBRERIA MORISAKI,https://cuspide.com/producto/mis-dias-en-la-libreria-morisaki/,13300.0,15.65,11.62,2024-02-10
EL MONJE QUE VENDIO SU FERRARI,https://cuspide.com/producto/el-monje-que-vendio-su-ferrari-2/,13399.0,15.76,11.7,2024-02-10
ASESINATO PARA PRINCIPIANTES,https://cuspide.com/producto/asesinato-para-principiantes/,22000.0,25.88,19.21,2024-02-10
UNA VELADA EN LA LIBRERIA MORISAKI,https://cuspide.com/producto/una-velada-en-la-libreria-morisaki/,11700.0,13.76,10.22,2024-02-10
EL PRIMER CAFE DEL DIA,https://cuspide.com/producto/el-primer-cafe-del-dia/,17999.0,21.18,15.72,2024-02-10
UGLY LOVE . PIDEME CUALQUIER COSA MENOS AMOR,https://cuspide.com/producto/ugly-love-pideme-cualquier-cosa-menos-amor/,19900.0,23.41,17.38,2024-02-10
LOS OJOS DE PLATA - LA NOVELA GRAFICA,https://cuspide.com/producto/los-ojos-de-plata-la-novela-grafica/,12999.0,15.29,11.35,2024-02-10
LOS CUATRO ACUERDOS,https://cuspide.com/producto/los-cuatro-acuerdos/,19200.0,22.59,16.77,2024-02-10
HEARTSTOPPER 5,https://cuspide.com/producto/heartstopper-5/,11599.0,13.65,10.13,2024-02-10
LO MEJOR Y LO PEOR DE INTERNET,https://cuspide.com/producto/lo-mejor-y-lo-peor-de-internet/,13999.0,16.47,12.23,2024-02-10
HOROSCOPO CHINO 2024,https://cuspide.com/producto/horoscopo-chino-2024/,11999.0,14.12,10.48,2024-02-10
